,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2012-01-05,4.93,5.57,4.93,5.57,107.0,2012,1,3,5,76.35133250731477,3.5260000000000002,,0.46170604844707785,0.6400000000000006
2012-01-06,5.72,6.65,5.72,6.65,94.0,2012,1,4,6,83.4761859878672,3.5929999999999995,,0.5803588327511555,0.9300000000000006
2012-01-07,6.65,6.9,6.0,6.0,33.0,2012,1,5,7,69.83855875071467,3.6460000000000004,,0.6148547881717157,0.9000000000000004
2012-01-08,6.8,6.8,6.8,6.8,0.0,2012,1,6,8,75.20718703760153,3.715,,0.6986923055163521,0.0
2012-01-09,6.9,7.0,6.9,7.0,5.0,2012,1,0,9,76.34097733827592,3.8056,,0.7723690805810524,0.09999999999999964
2012-01-10,6.99,6.99,6.23,6.3,66.0,2012,1,1,10,65.11683987157274,3.8816,,0.7654506669641528,0.7599999999999998
2012-01-11,6.24,7.14,6.24,7.14,62.0,2012,1,2,11,70.68650185570752,3.9644,,0.8183157199199815,0.8999999999999995
2012-01-12,7.14,7.33,6.25,7.0,105.0,2012,1,3,12,68.71720169462247,4.0446,,0.8392405822652051,1.08
2012-01-13,6.95,7.38,6.51,6.51,82.0,2012,1,4,13,62.186984142440814,4.1248,,0.8069823908574429,0.8700000000000001
2012-01-14,6.8,7.36,6.6,6.6,48.0,2012,1,5,14,62.88464903380659,4.2082,,0.779691985727629,0.7600000000000007
2012-01-15,6.5,6.5,6.3,6.3,16.0,2012,1,6,15,58.97838279401896,4.2868,,0.7254936115008226,0.20000000000000018
2012-01-16,7.15,7.15,7.15,7.15,16.0,2012,1,0,16,65.51470558401749,4.3848,,0.7425690321322325,0.0
2012-01-17,6.2,7.1,6.2,7.1,12.0,2012,1,1,17,64.86001884211782,4.475,,0.7434962815484969,0.8999999999999995
2012-01-18,6.5,6.9,6.0,6.0,80.0,2012,1,2,18,52.44364025392251,4.535,,0.6480005791646759,0.9000000000000004
2012-01-19,5.99,7.1,5.99,7.1,133.0,2012,1,3,19,60.57206812909098,4.622,,0.6535466746854448,1.1099999999999994
2012-01-20,5.52,7.0,5.52,6.22,246.0,2012,1,4,20,52.79734850974878,4.691,,0.5802446506668417,1.4800000000000004
2012-01-21,6.9,6.95,6.55,6.95,95.0,2012,1,5,21,57.65312383660098,4.7768,,0.574435433550649,0.40000000000000036
2012-01-22,6.3,6.77,6.28,6.77,81.0,2012,1,6,22,56.12011358520604,4.8578,,0.5489788055131699,0.4899999999999993
2012-01-23,6.79,6.83,6.03,6.79,81.0,2012,1,0,23,56.25928507182279,4.9298,,0.5243734267884985,0.7999999999999998
2012-01-24,6.5,6.52,6.0,6.52,94.0,2012,1,1,24,53.77946756455441,4.9918,,0.47758148132855904,0.5199999999999996
2012-01-25,6.52,6.57,6.0,6.55,85.0,2012,1,2,25,54.02197107839378,5.062,,0.43787176358839464,0.5700000000000003
2012-01-26,6.26,6.86,6.0,6.31,81.0,2012,1,3,26,51.68567461596384,5.129599999999999,,0.38262487061717465,0.8600000000000003
2012-01-27,6.27,6.3,5.5,5.5,29.0,2012,1,4,27,44.664937432719036,5.181,,0.27036448586060846,0.7999999999999998
2012-01-28,3.8,6.03,3.8,5.88,92.0,2012,1,5,28,48.218549373428324,5.239,,0.209643506511612,2.2300000000000004
